screen_name,profile_image_url,location,created_time,text
瓦尔哈拉一般酒保,"https://tvax3.sinaimg.cn/crop.0.0.816.816.50/87d32fc1ly8hmknmilws1j20mo0mota2.jpg?KID=imgbed,tva&Expires=1718269869&ssig=QqQshEGvxc",其他,Thu Jun 13 13:29:00  2024,战争如此残酷，然而，又是无产阶级提高地位的机会，比如二战后就是美国无产阶级过的最好的时候。俄罗斯最黑色幽默的一点是战争伤亡比不上他们国内的车祸和酗酒伤亡。祝这些良家子兵源早日见到胜利的一天。
北京的飞翔鱼鱼鱼鱼鱼鱼,"https://tvax1.sinaimg.cn/crop.0.0.500.500.50/006PJmXYly8hapadr6912j30dw0dwwez.jpg?KID=imgbed,tva&Expires=1718269869&ssig=YBI0ukv3EM",其他,Thu Jun 13 13:26:48  2024,苏联内战
小曲阑干,"https://tvax1.sinaimg.cn/crop.0.0.960.960.50/0075sjvWly8hd0o1vol70j30qo0qo791.jpg?KID=imgbed,tva&Expires=1718269869&ssig=V6GiziL9l4",河北,Thu Jun 13 12:49:12  2024,小伙子们……
Veranan,"https://tvax3.sinaimg.cn/crop.0.0.600.600.50/6b4ae9a7ly8hmjug4qvwkj20go0goabx.jpg?KID=imgbed,tva&Expires=1718269869&ssig=8vrlVFNFfD",北京 朝阳区,Thu Jun 13 12:04:24  2024,之前看到这篇文字时转发过，今天又看到，真的有点难过，刚刚成大，渴望看看世界的半大孩子要面临战火，无论是哪一方的，都是人间悲剧。
等待验证码的途中,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/65a6f19dly8g79xdrs7z5j20ro0rogo8.jpg?KID=imgbed,tva&Expires=1718269869&ssig=DpzL%2BEZtyx",北京 海淀区,Thu Jun 13 12:00:28  2024,我在距离南部前线直线距离不到50公里的地方，相比于战争初期，那个时候有大量的伤员在这里，所以有很多交谈，现在南部地区已经很平静了。当然，有我认识的人再也回不来了
尤拉Z,"https://tva2.sinaimg.cn/crop.517.92.1228.1228.50/564b95c8jw1em89plx0kxj21kw16ox5j.jpg?KID=imgbed,tva&Expires=1718269869&ssig=mw6vJB5iCx",其他,Thu Jun 13 11:55:57  2024,这篇文章是第二次读了，还是很有感触。如果能翻译成俄语发出去就好了。
木槿青炫52027,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/006DZ6edly8g6qa4bw9isj30ro0roq5q.jpg?KID=imgbed,tva&Expires=1718269869&ssig=sLXXHcX4n5",江苏 苏州,Thu Jun 13 11:32:11  2024,最大的愿望就是世界和平，唉[悲伤]
扎根乡村的工仔,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/007JeMMHly8hiz7yx7duaj30e80e8jsn.jpg?KID=imgbed,tva&Expires=1718269869&ssig=x8pfGPP6cn",广东 梅州,Thu Jun 13 11:10:01  2024,为了抵抗以美寇为首的北约，得寸进尺、步步紧逼……捐躯赴国难、视死忽如归！
静静的顿河aa,"https://tva2.sinaimg.cn/crop.0.0.1080.1080.50/5fcd4d9ejw8ewjns3rtt8j20u00u077b.jpg?KID=imgbed,tva&Expires=1718269869&ssig=ilFFPbjsda",重庆 大渡口区,Thu Jun 13 11:06:03  2024,二战时期日本兵来到中国时，也有大量类似的场景
化繁为简621,"https://tvax2.sinaimg.cn/crop.0.0.600.600.50/5475513cly8hai6prjbcwj20go0goq4z.jpg?KID=imgbed,tva&Expires=1718269869&ssig=bXBWh5uYdj",北京,Thu Jun 13 10:34:02  2024,[心]
