screen_name,profile_image_url,location,created_time,text
大为兄,"https://tva4.sinaimg.cn/crop.0.0.720.720.50/67bf664djw8ehexqrs59oj20k00k040e.jpg?KID=imgbed,tva&Expires=1725120606&ssig=WBZIpGjJ7s",广东 广州,Sat Aug 31 21:09:29  2024,家属: 这次找谁闹呢？ 有点麻烦
吉宝儿08,"https://tvax4.sinaimg.cn/crop.0.0.600.600.50/008BGFLbly8hsx8f1tuj2j30go0gojs6.jpg?KID=imgbed,tva&Expires=1725120606&ssig=79y2m75RWi",湖北 武汉,Sat Aug 31 21:06:52  2024,骑自行车前先检查一下手刹
扁桃体不是桃,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006HIpd2ly8hm729ocu14j30u00u0myx.jpg?KID=imgbed,tva&Expires=1725120606&ssig=tKYJ851rja",其他,Sat Aug 31 21:06:31  2024,就是下坡太快了，没控制住
Miamiao_y,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/005za2Uyly8gs33b9l5wrj30u00u0myi.jpg?KID=imgbed,tva&Expires=1725120606&ssig=DA5wsyiBnP",北京 海淀区,Sat Aug 31 21:04:14  2024,@KingDomSL 今天刚提醒你！！！！！
通缉原子颗粒,"https://tvax1.sinaimg.cn/crop.0.0.600.600.50/b6135dbaly8hpo16s47q7j20go0got9b.jpg?KID=imgbed,tva&Expires=1725120606&ssig=N2SDZwXXq8",其他,Sat Aug 31 21:03:48  2024,#女子骑单车被石块绊倒摔倒身亡#[微笑]不会写的去抄一万遍
消失的童话jy,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.50/006gMY3xly8gq2jaz0sg4j30ru0rujst.jpg?KID=imgbed,tva&Expires=1725120606&ssig=u5MUDcfzUr",河北 邯郸,Sat Aug 31 21:03:42  2024,生命实在太脆弱了，多好的姑娘啊
PRO2000,"https://tva2.sinaimg.cn/crop.217.166.333.333.50/006zidAnjw8f91aaeeh08j30g30goq3p.jpg?KID=imgbed,tva&Expires=1725120606&ssig=9YKQRVW%2FxT",江苏 南京,Sat Aug 31 21:03:18  2024,回复@教练我啥也想学:手机夹在车把和手之间，为了随时看。主要是速度快、没刹车，窨井盖前就开始了，没拿手机前面她就会刹车减速，就算不减速双手能更好的处理撞击！所以还真别找别人问题，责任在自己安全意识没有。她如果在下桥前停下车收起手机，这生命就留下了
水瓶淼淼520,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/3bdbe9c4ly8h810xpz4gsj20u00u0q4h.jpg?KID=imgbed,tva&Expires=1725120606&ssig=ZbCwJJhjUh",其他,Sat Aug 31 21:03:13  2024,我过去有次开电瓶车骑到一条修路的铺的铁板边缘摔的
Serein温晚,"https://tvax3.sinaimg.cn/crop.0.0.511.511.50/0073Vziwly8hqxhxs8bpdj30e80e7aa8.jpg?KID=imgbed,tva&Expires=1725120606&ssig=bHBlmZVDHW",江苏,Sat Aug 31 21:03:02  2024,骑自行车摔倒能摔死，唉，这是命运啊
PRO2000,"https://tva2.sinaimg.cn/crop.217.166.333.333.50/006zidAnjw8f91aaeeh08j30g30goq3p.jpg?KID=imgbed,tva&Expires=1725120606&ssig=9YKQRVW%2FxT",江苏 南京,Sat Aug 31 21:02:35  2024,回复@Allison_k:手机夹在车把和手之间，为了随时看。主要是速度快、没刹车，窨井盖前就开始了，没拿手机前面她就会刹车减速，就算不减速双手能更好的处理撞击！所以还真别找别人问题，责任在自己安全意识没有。她如果在下桥前停下车收起手机，这生命就留下了！ ​​​
