screen_name,profile_image_url,location,created_time,text
沐康堂百草梨膏糖英子,"https://tva3.sinaimg.cn/crop.0.0.640.640.50/006qCeIzjw8faaj8hnd9gj30hs0hsdgf.jpg?KID=imgbed,tva&Expires=1717932072&ssig=yE5cp3p3Z1",北京,Sun Jun 09 16:16:55  2024,端午安康
精灵球收七龙珠,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008zFeBaly8hg6qeck0mxj30u00u0wfi.jpg?KID=imgbed,tva&Expires=1717932072&ssig=ssAil3vjOg",广东,Sun Jun 09 16:13:24  2024,[心]
CaneSky,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/48bd2cd3jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717932072&ssig=W0%2BmDpQeDa",北京 朝阳区,Sun Jun 09 16:10:51  2024,飙出残影的状态叫：Zone。[doge]
任进,"https://tva2.sinaimg.cn/crop.0.0.374.374.50/534cc22bjw8em93ezrveoj20ae0aewel.jpg?KID=imgbed,tva&Expires=1717932072&ssig=tSG4EpW5oi",北京 海淀区,Sun Jun 09 16:10:20  2024,中华文化五千年，就是靠这些非遗传承下来的，古为今用，值得我们深入研究，大力宣传，全球推广。
Mrs龙0802,"https://tvax4.sinaimg.cn/crop.0.0.700.700.50/008tHYwLly8ho5hnturvzj30jg0jgq3r.jpg?KID=imgbed,tva&Expires=1717932072&ssig=CbcmXeePSw",其他,Sun Jun 09 16:09:19  2024,哇哦[good][good][good]
清小小高,"https://tvax4.sinaimg.cn/crop.0.0.909.909.50/006X5zLWly8hjwt3xpigsj30p90p9403.jpg?KID=imgbed,tva&Expires=1717932072&ssig=yhVe8tD5ST",广东 深圳,Sun Jun 09 16:08:40  2024,好想看一场龙舟赛[你好]
八爪鱼缠身,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/a1ca3985jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717932072&ssig=qYxQrLgtpl",上海 黄浦区,Sun Jun 09 16:06:50  2024,可一定要传承下去呀，下次去佛山过端午节看龙舟
高猫,"https://tva1.sinaimg.cn/crop.0.0.720.720.50/701ed1dajw8exlq7m4jhqj20k00k0wg4.jpg?KID=imgbed,tva&Expires=1717932072&ssig=sjArDzkW7G",广东 中山,Sun Jun 09 16:00:16  2024,好劲
芊芊_29553,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/c499d361ly8hn5eob4y6dj20u00u0q46.jpg?KID=imgbed,tva&Expires=1717932072&ssig=AsezN2tkvU",浙江,Sun Jun 09 15:59:57  2024,哇
人间有我用坏的时光__,"https://tvax3.sinaimg.cn/crop.0.0.500.500.50/73f64834ly8gyvu6adgplj20dw0dw3yy.jpg?KID=imgbed,tva&Expires=1717932072&ssig=HGpYBmk6AP",其他,Sun Jun 09 15:48:52  2024,在现场[吃瓜]
啊---土,"https://tva4.sinaimg.cn/crop.0.0.180.180.50/549eb2e0jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717932072&ssig=x8V5agpdua",贵州 贵阳,Sun Jun 09 15:48:49  2024,[good][good][good]
春不争,"https://tvax1.sinaimg.cn/crop.0.0.812.812.50/00680DFQly8hlc8gwfbikj30mk0mk42x.jpg?KID=imgbed,tva&Expires=1717932072&ssig=rfPedJDGBv",广东,Sun Jun 09 15:42:14  2024,南澳龙舟赛YYDS
東街烂人-,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/94ce7941ly8hm7dnkikfrj20e80e8aag.jpg?KID=imgbed,tva&Expires=1717932072&ssig=F5%2BH%2BRzUCT",其他,Sun Jun 09 15:41:12  2024,好看啊，端午就应该有这种话题呀
邓为的小狐狸226,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/008CnVy1ly8hlnri9y4wpj30u00u176n.jpg?KID=imgbed,tva&Expires=1717932072&ssig=DP6li%2B20gJ",其他,Sun Jun 09 15:38:39  2024,端午安康
别硬装-你确实比我牛,"https://tvax3.sinaimg.cn/crop.0.0.828.828.50/006bl8ptly8h24b5y8o78j30n00n0406.jpg?KID=imgbed,tva&Expires=1717932072&ssig=OTxUU7RRNP",湖南,Sun Jun 09 15:34:26  2024,别怕，马上捞你上来
信奉文字是有温度的东西,"https://tvax3.sinaimg.cn/crop.0.0.900.900.50/008DU0Jyly8hqj528ahpsj30p00p1t9e.jpg?KID=imgbed,tva&Expires=1717932072&ssig=XdkHIiXGNs",广西 柳州,Sun Jun 09 15:31:28  2024,[鼓掌][鼓掌]
深圳天气,"https://tvax2.sinaimg.cn/crop.40.49.560.560.50/0022FTd2ly8h8w53wolu7j60hs0hsdhf02.jpg?KID=imgbed,tva&Expires=1717932072&ssig=qqOwGOCw9u",广东 深圳,Sun Jun 09 15:30:33  2024,#文化中国行端午话非遗# 端午将至，龙舟鼓响。一起感受会“漂移”的叠滘龙舟[666]
晨光92502,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/0089tVPhly8hqi5vkuijpj30u00u0gnz.jpg?KID=imgbed,tva&Expires=1717932072&ssig=zGy8JB0a%2BK",其他,Sun Jun 09 15:30:29  2024,力争上游 永不放弃
Sur_观南,"https://tvax1.sinaimg.cn/crop.0.0.1000.1000.50/008zO6stly8hmgdf8ad5ej30rs0rsn0c.jpg?KID=imgbed,tva&Expires=1717932072&ssig=tcketcYcJk",其他,Sun Jun 09 15:24:47  2024,端午安康
素素又回来了,"https://tvax1.sinaimg.cn/crop.0.0.650.650.50/482cb624ly8hqizp0wlq1j20i20i2q4k.jpg?KID=imgbed,tva&Expires=1717932072&ssig=hMSn5js12p",湖南 衡阳,Sun Jun 09 15:19:32  2024,广东的龙舟真的是技术流的，跟其他地方都不一样，都在小河道玩过弯漂移
HonDo,"https://tva1.sinaimg.cn/crop.0.0.1080.1080.50/005MXTr5jw8evx2nmak73j30u00u0wg8.jpg?KID=imgbed,tva&Expires=1717932074&ssig=e2yFOmZRGi",河南 信阳,Sun Jun 09 15:17:49  2024,端午不是让思密达申遗了吗
Along_蓝天,"https://tvax1.sinaimg.cn/crop.0.0.828.828.50/008bEAqCly8hk45029ftbj30n00n0t9a.jpg?KID=imgbed,tva&Expires=1717932074&ssig=McgTxgH7nx",浙江,Sun Jun 09 15:07:54  2024,哇 好厉害[给力][加油][good]
i一颗菠萝i,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006Z6Fnlly8hprl964p0ij30u00u0di3.jpg?KID=imgbed,tva&Expires=1717932074&ssig=JLljLt3iL1",其他,Sun Jun 09 15:00:58  2024,好精彩[哆啦A梦微笑]
Mya-lin,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/5a3bfbd7ly8hj6npluggej20e80e8myb.jpg?KID=imgbed,tva&Expires=1717932074&ssig=SfbKBcreM6",海外,Sun Jun 09 15:00:34  2024,热血沸腾[good][good][good]
大Gvs牧马人,"https://tvax3.sinaimg.cn/crop.0.0.607.607.50/005KLoDRly8hk2gr17qq9j30gv0gv3zp.jpg?KID=imgbed,tva&Expires=1717932074&ssig=fb4pG4hGPt",其他,Sun Jun 09 14:56:09  2024,好壮观
四阁楼上官欧阳,"https://tvax4.sinaimg.cn/crop.0.0.986.986.50/006W5pvAly8g5teduhye4j30re0ren2k.jpg?KID=imgbed,tva&Expires=1717932074&ssig=x5R34ljswZ",云南,Sun Jun 09 14:49:16  2024,[赞]
肥肥胖胖小禹禹,"https://tvax4.sinaimg.cn/crop.0.0.736.736.50/008E69Zaly8hpx9bb43lvj30kg0kg754.jpg?KID=imgbed,tva&Expires=1717932074&ssig=yUTKwL3jFd",其他,Sun Jun 09 14:35:42  2024,哇真是很厉害啊[给你小心心][我最粽意你][我最粽意你]
粉嘟嘟的猪丶11,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/7b822c4ely8gpbi3mscnuj20ro0ro431.jpg?KID=imgbed,tva&Expires=1717932074&ssig=paR3paESjE",福建 厦门,Sun Jun 09 14:34:12  2024,哇[赞][赞][赞][赞]厉害，安全第一
我不是注销了吗,"https://tva3.sinaimg.cn/crop.97.24.244.244.50/7fda0271jw8fcol79p4omj20c80853yw.jpg?KID=imgbed,tva&Expires=1717932074&ssig=Nhd7uuwS9s",其他,Sun Jun 09 14:24:04  2024,南京公安龙舟队输了吗
自由36度,"https://tvax2.sinaimg.cn/crop.0.0.892.892.50/006ZfGdnly8hjo3km88vrj30os0osn25.jpg?KID=imgbed,tva&Expires=1717932074&ssig=Zy3WSeTapH",陕西,Sun Jun 09 14:20:31  2024,端午安康，弘扬中国文化。
stream哗啦啦,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/008kNZefly8haltest9zcj30u00u0dir.jpg?KID=imgbed,tva&Expires=1717932074&ssig=oNpHQqqsT8",其他,Sun Jun 09 14:15:05  2024,👍🏻👍🏻👍🏻
bookofmy,"https://tva1.sinaimg.cn/crop.0.0.180.180.50/53945b49jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717932074&ssig=W4ZbXGI6%2F7",陕西 西安,Sun Jun 09 14:14:32  2024,厉害
无量喜乐,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/0074kkilly8hkyaiigsgkj30u00u0wiz.jpg?KID=imgbed,tva&Expires=1717932074&ssig=8rxoEUcNjc",山东 聊城,Sun Jun 09 14:14:00  2024,有点像格兰披治赛道喔
每天自我鼓励一百遍,"https://tvax3.sinaimg.cn/crop.0.0.844.844.50/006go82ply8hh4986aesuj30ng0ngmzx.jpg?KID=imgbed,tva&Expires=1717932074&ssig=qzJMxt1kow",其他,Sun Jun 09 14:07:59  2024,我最喜欢端午了
出岫凝云_z,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/88e841ccly8gy8br97oxdj20ro0rojsn.jpg?KID=imgbed,tva&Expires=1717932074&ssig=RNRbafvNxG",福建,Sun Jun 09 14:00:33  2024,[哇][哇][哇]
卡布叻_棠,"https://tvax2.sinaimg.cn/crop.0.0.940.940.50/0082T16Oly8hqiatnnyzcj30q40q4mzi.jpg?KID=imgbed,tva&Expires=1717932074&ssig=Y7agSb6yiW",西藏 林芝,Sun Jun 09 13:48:22  2024,[good][good][good]
真正的酸甜可乐,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/488f2dbfjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717932074&ssig=%2B%2Bq5%2BfskOp",江苏 无锡,Sun Jun 09 13:37:47  2024,[中国赞]传播传统文化
桃味啵啵哒,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008uHcrlly8hpx0q922q0j30u00u0mz2.jpg?KID=imgbed,tva&Expires=1717932074&ssig=XuOa8s0aHS",安徽,Sun Jun 09 13:25:58  2024,哇塞，这太刺激了
小桃花呀,"https://tvax1.sinaimg.cn/crop.0.0.533.533.50/e85636a4ly8h0ffcaaxyvj20et0etq4a.jpg?KID=imgbed,tva&Expires=1717932074&ssig=73F4g8cl2C",北京 朝阳区,Sun Jun 09 13:23:41  2024,传承[good]
北京高生,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/7162c705ly8gcnre3s38ej20ro0rowg8.jpg?KID=imgbed,tva&Expires=1717932074&ssig=ZTxOf6kJxh",北京 东城区,Sun Jun 09 13:22:11  2024,哇哦
眾人表妹就係我,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/751343f5ly8gdiddy0kpgj20e80e8751.jpg?KID=imgbed,tva&Expires=1717932075&ssig=wBZCfZR1Aa",广东 广州,Sun Jun 09 13:19:59  2024,[赞][赞]好！
小栗子_Niki,"https://tvax3.sinaimg.cn/crop.0.0.1024.1024.50/7de7353cly8hobr4yyerlj20sg0sgdi7.jpg?KID=imgbed,tva&Expires=1717932075&ssig=AQxfv3V83e",辽宁,Sun Jun 09 13:18:24  2024,要是能去现场观看肯定非常精彩[哇][哇]，百舸争流[good]端午安康[抱一抱][抱一抱]
紫肖成,"https://tvax2.sinaimg.cn/crop.0.0.640.640.50/008D8ceBly8hnhefi6bs8j30hs0hsmyg.jpg?KID=imgbed,tva&Expires=1717932075&ssig=o2POEGFqbc",其他,Sun Jun 09 13:18:14  2024,又是粽子节[爱你][爱你][爱你]
小瑾好困啊,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008g8yQfly8hqh1akyibaj30u00u0mz1.jpg?KID=imgbed,tva&Expires=1717932075&ssig=lFFDZosTZw",江西,Sun Jun 09 13:17:29  2024,哇哦[哇]
永远爱陆长空,"https://tvax2.sinaimg.cn/crop.0.0.974.974.50/0060h3Zqly8hov21bgz8aj30r20r275a.jpg?KID=imgbed,tva&Expires=1717932075&ssig=YVTu9%2BC5ue",其他,Sun Jun 09 13:17:07  2024,赛龙舟端午节的必备节目
璃茉limor,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005KB9oLly8hgeve5rdbkj30u00u076s.jpg?KID=imgbed,tva&Expires=1717932075&ssig=BVchl9yK%2F7",江苏 南京,Sun Jun 09 13:16:40  2024,好像真的游龙在水面穿行[赞]
荆木年华,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/007uW3e2ly8hqg7dvpjnkj30u00u0q3l.jpg?KID=imgbed,tva&Expires=1717932075&ssig=OAxqpCFPSb",其他,Sun Jun 09 13:14:14  2024,想去睇，但系太多人了
山海牡蛎,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006HAJ0Hly8hplz434pv8j30u00u0q5w.jpg?KID=imgbed,tva&Expires=1717932075&ssig=iNzLjyY9OZ",其他,Sun Jun 09 13:13:02  2024,被赛龙舟敢为人先力争上游，永不放弃的团队精神感动，而这也正是自己一直追求的精神。[粽意你]
馨悦6332,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/0069OOERly8hjbzipdhxjj30u00u077y.jpg?KID=imgbed,tva&Expires=1717932075&ssig=OGvxQuisS8",广东 深圳,Sun Jun 09 13:10:34  2024,[赞啊]
Aurora-小猫主唱家Liuk,"https://tvax3.sinaimg.cn/crop.0.0.719.719.50/008BGmXMly8hnreii99h2j30jz0jz0uf.jpg?KID=imgbed,tva&Expires=1717932075&ssig=GPfQ238qUr",其他,Sun Jun 09 13:06:33  2024,好厉害！
南柯南柯i,"https://tvax2.sinaimg.cn/crop.0.0.1006.1006.50/006JynDbly8ggaxkom0ryj30ry0rymyc.jpg?KID=imgbed,tva&Expires=1717932075&ssig=je47fZvxMC",广东,Sun Jun 09 13:06:24  2024,@豆腐小夜子啊  这就是你说的用龙舟漂移啊？
缠论道悟,"https://tvax2.sinaimg.cn/crop.37.0.226.226.50/6c0a31eely8hpq0dx0e8sj208c06a3yn.jpg?KID=imgbed,tva&Expires=1717932075&ssig=r59hK4YIiG",上海,Sun Jun 09 13:06:18  2024,中国人自己的特色
淇淇今天早睡了吗,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008D83Iily8ho9xxmpczrj30u00u0wig.jpg?KID=imgbed,tva&Expires=1717932075&ssig=mykwWzY7G%2F",其他,Sun Jun 09 13:02:11  2024,厉害
七七淇遇记,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006nMi5fly8hp0qdah6glj30u00u00ua.jpg?KID=imgbed,tva&Expires=1717932075&ssig=u5YHKOomww",其他,Sun Jun 09 12:59:54  2024,好厉害
有道德的黑猫警长,"https://tvax2.sinaimg.cn/crop.0.0.750.750.50/72104335ly8h8y56vrp2sj20ku0kudh8.jpg?KID=imgbed,tva&Expires=1717932075&ssig=2ubW3D2aCd",其他,Sun Jun 09 12:58:29  2024,百舸争流[good]
粥粥不姓粥_,"https://tvax1.sinaimg.cn/crop.0.0.1077.1077.50/008BVGtdly8hkwj42mcqoj30tx0txjtm.jpg?KID=imgbed,tva&Expires=1717932075&ssig=TIWmnYMntY",其他,Sun Jun 09 12:51:13  2024,👍🏻
惜·时光,"https://tvax3.sinaimg.cn/crop.0.0.664.664.50/006ODhuwly8getbfye1qmj30ig0igq3z.jpg?KID=imgbed,tva&Expires=1717932075&ssig=9AuPyZQj0h",其他,Sun Jun 09 12:46:31  2024,传承与发扬
沫沫ZC33,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/007WRSJ8ly8gjjx67blc5j30ro0rp0wn.jpg?KID=imgbed,tva&Expires=1717932075&ssig=x2ZxkrFS9d",江苏 南通,Sun Jun 09 12:43:22  2024,一片艾叶，渗透情意的芬芳；一条龙舟，搏出热情的高涨，太热血了，端午安康![我最粽意你]
王权-毅淇淇,"https://tvax4.sinaimg.cn/crop.0.0.912.912.50/008Dx3Rely8hop5p7ggk7j30pc0pcwh3.jpg?KID=imgbed,tva&Expires=1717932075&ssig=uwFWLixZ1k",其他,Sun Jun 09 12:42:38  2024,端午安康
林沐沐912,"https://tvax3.sinaimg.cn/crop.0.0.132.132.50/008Elx2Nly4hqiznvt49ej303o03ojr8.jpg?KID=imgbed,tva&Expires=1717932075&ssig=HwlLP%2BJmC4",其他,Sun Jun 09 12:41:22  2024,我们今天就开始划龙舟比赛[二哈]
太阳那么温暖风却很凉,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/0088HXWOly8h1xonzlpxgj30u00u0dii.jpg?KID=imgbed,tva&Expires=1717932077&ssig=UK8AWiBp0y",湖北,Sun Jun 09 12:35:24  2024,辽宁龙舟可以去试试水[允悲]
温柔起了毅,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/0072dtOAly8hk91u3r086j30e80e8wfe.jpg?KID=imgbed,tva&Expires=1717932077&ssig=vctqTn58Tw",广东,Sun Jun 09 12:30:29  2024,好厉害啊
啥时候能环游世界啊,"https://tva1.sinaimg.cn/crop.392.204.1137.1137.50/68fe99c9jw8f119p98s9gj21kw11x7mc.jpg?KID=imgbed,tva&Expires=1717932077&ssig=NzFWalHB0U",重庆 渝北区,Sun Jun 09 12:29:21  2024,现场太过热烈
ii43_wx,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008ucxdWly8hqj2zfyiidj30u00u0q7d.jpg?KID=imgbed,tva&Expires=1717932077&ssig=yOYlD7YVfu",其他,Sun Jun 09 12:27:56  2024,好厉害
K就是一个粗人,"https://tva4.sinaimg.cn/crop.420.0.1080.1080.50/8797fce5jw8er3x5qxzdyj21hc0u0afy.jpg?KID=imgbed,tva&Expires=1717932077&ssig=n%2BwGdFeccK",山东 烟台,Sun Jun 09 12:27:52  2024,太厉害了👍
K就是一个粗人,"https://tva4.sinaimg.cn/crop.420.0.1080.1080.50/8797fce5jw8er3x5qxzdyj21hc0u0afy.jpg?KID=imgbed,tva&Expires=1717932077&ssig=n%2BwGdFeccK",山东 烟台,Sun Jun 09 12:26:37  2024,[开学季]
逆93361,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/007STGqIly8g4soap9rf4j30ro0ro0vn.jpg?KID=imgbed,tva&Expires=1717932077&ssig=A7kXWNT3QH",其他,Sun Jun 09 12:26:21  2024,哇
江城子自难忘,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008DqkkNly8ho4frs8qrjj30u00u1n8m.jpg?KID=imgbed,tva&Expires=1717932077&ssig=P%2BgIX8zCYb",其他,Sun Jun 09 12:25:24  2024,端午快乐
品克缤A,"https://tvax3.sinaimg.cn/crop.0.0.511.511.50/005wmDoAly8hqgz79a61ej30e70e7q3t.jpg?KID=imgbed,tva&Expires=1717932077&ssig=sFs%2B0WTNFN",其他,Sun Jun 09 12:23:21  2024,[流浪地球2]
爱吃油焖鸡,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/66a47330ly8h6ll3pq96cj20u00u0jwt.jpg?KID=imgbed,tva&Expires=1717932077&ssig=1yvuOTpfdJ",其他,Sun Jun 09 12:23:13  2024,每年都得淹死几个
何某人198306,"https://tvax1.sinaimg.cn/crop.0.0.132.132.50/008Af4ecly4hh1xnwffnuj303o03o744.jpg?KID=imgbed,tva&Expires=1717932077&ssig=ep3hjjoHIY",其他,Sun Jun 09 12:22:46  2024,这特么谁剪辑的视频！？晕死了
RITA卡2,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006QbS40ly8h6r78tagu8j30u00u0tae.jpg?KID=imgbed,tva&Expires=1717932077&ssig=gkqJwPozDX",其他,Sun Jun 09 12:22:33  2024,[微笑]我们阿里系的商家端午没得放假啊，我们强大的祖国管一管不好吗
鸡蛋-力量-汉堡王之心,"https://tvax4.sinaimg.cn/crop.0.0.132.132.50/008B6CT7ly4hiuonbftgmj303o03odfp.jpg?KID=imgbed,tva&Expires=1717932077&ssig=96mZUSs95A",其他,Sun Jun 09 12:20:28  2024,[打call][打call][打call]
释迦慧至,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006dpKTqly8hm3ab2wnmgj30u00u0gmd.jpg?KID=imgbed,tva&Expires=1717932077&ssig=N18lfL6p0B",北京,Sun Jun 09 12:09:57  2024,技巧力量速度的结合
foresight2000,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/572b085cjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717932077&ssig=11aY46qdGK",辽宁 大连,Sun Jun 09 12:05:09  2024,[good][good][good]
羽林参钧,"https://tvax3.sinaimg.cn/crop.0.0.854.854.50/008suRqhly8hbbboet6auj30nq0nqabi.jpg?KID=imgbed,tva&Expires=1717932077&ssig=Grk7UcBb8S",北京,Sun Jun 09 12:04:17  2024,[赞][赞]
哇是小牛牛啊,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/0064AY2oly8gv5ih6d9wvj60e80e8dgi02.jpg?KID=imgbed,tva&Expires=1717932077&ssig=9iZ2YkOP1C",广东 佛山,Sun Jun 09 12:03:56  2024,昨天的比赛很精神，接下来连续三天都能看[打call][打call][打call][打call][打call]
追风少年ZZZ1,"https://tvax2.sinaimg.cn/crop.0.0.664.664.50/007KpHsNly8g2f40s8p09j30ig0ig757.jpg?KID=imgbed,tva&Expires=1717932077&ssig=TmvFA3raqY",山东,Sun Jun 09 11:59:01  2024,[good]
