screen_name,profile_image_url,location,created_time,text
是橘子ye,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/0074evQlly8gmx9ngj3xej30ro0rowgb.jpg?KID=imgbed,tva&Expires=1719401333&ssig=DZGzcqVRXF",山东 菏泽,Wed Jun 26 15:59:54  2024,我们幼儿园还有上暑假
舟珠珠,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/0064yRLtly8hlf3rymjesj30e80e80ta.jpg?KID=imgbed,tva&Expires=1719401333&ssig=JtKdD0OpDR",云南 昆明,Wed Jun 26 15:47:32  2024,该死的 我还是异地乡镇教师编  [泪][泪][泪]谁懂啊 平时累得要死就算了  一分班主任费没有纯为爱发电   好不容易放假了还得等这个破培训 我真服了
敷衍怪型的肥肥鹤噻,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/007KDgDCly8gmea18dchnj30ro0rot9x.jpg?KID=imgbed,tva&Expires=1719401333&ssig=PoERltYD%2FG",其他,Wed Jun 26 15:36:49  2024,"寒暑假是写进教师法的""带薪休假""权利。教师愿意培训，但请勿侵占教师休息权。培训应人性化，压榨教师休息时间，不符合""减轻中小学教师负担""的相关整治工作。此刻全国各地的社交平台，对少工委此项侵占教师休息权的举措已有众多发声，请尊重社会舆论，还教师一个合理的暑假，给教师一个休息养病的时间。"
叽里呱啦氏宗主,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/96c1b064ly8hgvciw9hpwj20u00u0adv.jpg?KID=imgbed,tva&Expires=1719401333&ssig=0L7jbBVAGT",广东 肇庆,Wed Jun 26 15:11:49  2024,@命定上岸人：#暑假7.15-7.18培训不合理# 《中华人民共和国教师法》第二章第七条 规定:“教师享有下列权利:(四)按时获取工资报酬，享受国家规定的福利待遇以及寒暑假期的带薪休假。” 因此，教师享有寒暑假期的带薪休假的权利，请勿剥夺教师的休息权！！！！
世间的日光倾城,"https://tvax2.sinaimg.cn/crop.0.0.1002.1002.50/dcf852d3ly8g73b56y7b1j20ru0ruwff.jpg?KID=imgbed,tva&Expires=1719401333&ssig=ADyEmomk6G",河北 石家庄,Wed Jun 26 14:26:09  2024,这本来就是违背《教师法》的，为什么违法的事少工委说做就做，仅仅因为这是国家部门，就可以随意违背法律规定吗？
追风过,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/0063i3Srly8gdh1v6bouej30ro0rodhe.jpg?KID=imgbed,tva&Expires=1719401333&ssig=sR0BV6WzDp",其他,Wed Jun 26 14:16:38  2024,是减负的嘛，一减一负不就是增加吗[吃瓜]
景向梅梅攻兔兔-小蘑菇,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/e85947a6ly8grh2twdn04j20e80e80t1.jpg?KID=imgbed,tva&Expires=1719401333&ssig=5SkWRc1bcW",广东 广州,Wed Jun 26 13:37:28  2024,#暑假7.15-7.18培训不合理去 #为什么侵占老师的暑假？？广东广州年初八就回学校工作了，全国最早开学，却是全国最晚放假！福建省今天期末考，广州下下周7月8才考试，15号放假全国最晚还要去那形式主义的培训？整个学期班主任心理B证培训已经十几个星期周末培训了，周周单休，还要弄招生等于没有周末！
遥思云,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/0065tIqqly8g430jmcrp2j30ro0ro0u8.jpg?KID=imgbed,tva&Expires=1719401333&ssig=8PgeEx3BLy",海外 加拿大,Wed Jun 26 13:10:06  2024,#暑假7.15-7.18培训不合理# 《中华人民共和国教师法》第二章第七条 规定:“教师享有下列权利:(四)按时获取工资报酬，享受国家规定的福利待遇以及寒暑假期的带薪休假。” 因此，教师享有寒暑假期的带薪休假的权利，请勿剥夺教师的休息权！！！！
only-yy29,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/00622wNvly8g5gn03qcnhj30u00u0dis.jpg?KID=imgbed,tva&Expires=1719401333&ssig=riQ5wzKcpE",其他,Wed Jun 26 13:03:26  2024,我们还有7月8日-12日培训一周，雪上加霜
婷婷小泥音,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/0083LDGfly8ho40hojx51j30u00u0765.jpg?KID=imgbed,tva&Expires=1719401333&ssig=paPUxvvp0G",天津 河西区,Wed Jun 26 13:03:08  2024,太气人了[泪]
已注销LOG,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/6cdf7851ly8hivmzz0u1pj20u00u0gps.jpg?KID=imgbed,tva&Expires=1719401333&ssig=%2BY%2BPJQ%2BNv%2F",山东 青岛,Wed Jun 26 13:01:32  2024,@微言教育
很多时候看心情,"https://tvax2.sinaimg.cn/crop.0.0.40.40.50/007cq3Elly8ft41kcs1ahj30140143y9.jpg?KID=imgbed,tva&Expires=1719401333&ssig=sHq8n78dWu",其他,Wed Jun 26 12:47:10  2024,你这么多赞，怎么还没被和谐[微笑]我看小红书和好几条微博已经不见了
雨下的叶子bling,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif?KID=imgbed,tva&Expires=1719401333&ssig=jqBDTpbneF",广东 清远,Wed Jun 26 12:43:53  2024,点赞不了？
时间这把猪饲料,"https://tva4.sinaimg.cn/crop.0.0.540.540.50/91ed8c01jw8ev5zkmi03vj20f00f03yu.jpg?KID=imgbed,tva&Expires=1719401333&ssig=Fvy7lO1Kn%2F",其他,Wed Jun 26 12:30:41  2024,班主任就活该这么惨的吗
陈抖抖-,"https://tvax2.sinaimg.cn/crop.0.0.751.751.50/006bSx97ly8gk8gyqj3msj30kv0kvjsd.jpg?KID=imgbed,tva&Expires=1719401333&ssig=KEtsCv5XEE",其他,Wed Jun 26 12:19:56  2024,@明年还有暴雪吗
已注销LOG,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/6cdf7851ly8hivmzz0u1pj20u00u0gps.jpg?KID=imgbed,tva&Expires=1719401333&ssig=%2BY%2BPJQ%2BNv%2F",山东 青岛,Wed Jun 26 12:16:48  2024,@共青团中央 首先 这个培训是必须要保密的吗？其次保密程度如此之高的培训还要线上吗？最后 暑期进行培训 合法合规吗？
网抑半刻,"https://tvax3.sinaimg.cn/crop.0.0.1078.1078.50/0076xvaxly8h5jd98jdphj30ty0tyn05.jpg?KID=imgbed,tva&Expires=1719401335&ssig=TfqeR0UW%2FN",江苏 南京,Wed Jun 26 12:05:03  2024,我真的气笑了，这个话题没了[赞][赞][赞]好样的
大同小伊-,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/821b1473ly8hnwq0q6fm5j20u00u0afw.jpg?KID=imgbed,tva&Expires=1719401335&ssig=Yv%2BE10kBDD",其他,Wed Jun 26 11:14:11  2024,拖欠的绩效工资一大堆没人发，培训还安排在放假里随叫随到吗 牛马
大同小伊-,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/821b1473ly8hnwq0q6fm5j20u00u0afw.jpg?KID=imgbed,tva&Expires=1719401335&ssig=Yv%2BE10kBDD",其他,Wed Jun 26 11:12:37  2024,#暑假7.15-7.18培训不合理# 《中华人民共和国教师法》第二章第七条 规定:“教师享有下列权利:(四)按时获取工资报酬，享受国家规定的福利待遇以及寒暑假期的带薪休假。” 因此，教师享有寒暑假期的带薪休假的权利，请勿剥夺教师的休息权！！！！
宇亲亲拉,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif?KID=imgbed,tva&Expires=1719401335&ssig=8xCW8zb371",四川 成都,Wed Jun 26 10:28:35  2024,暑假7.15-7.18培训不合理#请问少工委培训的意义在哪里？刷你们的存在感吗？辅导员的工作还要怎么培训？嫌老师们平时各种各样的培训不够多吗？嫌暑托班不够多吗？还硬性要求必须集中到学校培训，就为了拍照上传给你们看吗？你们看吗
YUKI_Chen1,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/e2f11296ly8hnalvs85ekj20e80e83z7.jpg?KID=imgbed,tva&Expires=1719401335&ssig=HIUCoYAW%2Bb",海外 意大利,Wed Jun 26 10:24:41  2024,班主任的命不是命？ 太可笑了
bamboo竹子要努力,"https://tvax1.sinaimg.cn/crop.0.0.888.888.50/005XptPnly8gh4w2ng2yzj30oo0ooq4x.jpg?KID=imgbed,tva&Expires=1719401335&ssig=ytHAS%2BE0jE",湖南,Wed Jun 26 10:17:52  2024,@全国少工委 少工委能不能考虑下老师们的感受
左手帅哥右手钞票,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/006AVRA9ly8g86xzga8yej30ro0ro41e.jpg?KID=imgbed,tva&Expires=1719401335&ssig=gmT5S1IwC3",其他,Wed Jun 26 10:17:44  2024,真的想💩
是一只猪-,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/005tgni3ly8gvvcmdcl53j30u00u0411.jpg?KID=imgbed,tva&Expires=1719401335&ssig=1DD%2BZmUVOJ",其他,Wed Jun 26 10:13:35  2024,@人民日报 @人民网评
杰克童话,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/005N9wRBly8h5dnm1wvc3j30u00u0n7o.jpg?KID=imgbed,tva&Expires=1719401335&ssig=KtQXrLKBzg",宁夏 银川,Wed Jun 26 10:10:45  2024,线下一块看线上视频就是最滑稽的方式
酒酿小圆子呀呀呀呀呀,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/008t4jKYly8hbtegsbih9j30e80e8q2y.jpg?KID=imgbed,tva&Expires=1719401335&ssig=c%2F7ytBWpzs",浙江,Wed Jun 26 10:07:19  2024,@全国少工委 @人民日报 能不能给班主任点时间看病啊
一只小狍子-L,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/87a5c45ely8gtsjdk7ptaj20u00u0gor.jpg?KID=imgbed,tva&Expires=1719401335&ssig=lhrn99TRVv",河北 邢台,Wed Jun 26 10:05:53  2024,我们7.8-7.31号培训[微笑][微笑][微笑]
夫大块劳我以生,"https://tvax4.sinaimg.cn/crop.0.0.829.829.50/005I5YYily8ghwlp61m5oj30n10n1gm0.jpg?KID=imgbed,tva&Expires=1719401335&ssig=0Ang8iElsN",湖南 长沙,Wed Jun 26 10:03:21  2024,@全国少工委
是你的可乐吖2019,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/005Pyb80ly8g6tpa4aqcsj30e80e8mxu.jpg?KID=imgbed,tva&Expires=1719401335&ssig=rVc5iVxWbQ",江苏,Wed Jun 26 10:03:21  2024,这篇搜不到了 词条没了
考拉Lora,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/005SypTmly8fx5r5qbzp0j30ro0rowfa.jpg?KID=imgbed,tva&Expires=1719401335&ssig=pPhWkLk4nV",四川 成都,Wed Jun 26 09:56:25  2024,顶
沈星回的兔耳朵,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/005Ouv31ly8hp6c0d8y7xj30e80e8gm2.jpg?KID=imgbed,tva&Expires=1719401335&ssig=HPwOuVVxX5",其他,Wed Jun 26 08:55:48  2024,这种文件从来都是通知，该让下通知的这个人全程陪同讲解培训并当十年班主任，他才有资格提这个建议
南上鸢北之兰,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/882d2f34ly8g34nc21e9uj20ro0rojvg.jpg?KID=imgbed,tva&Expires=1719401335&ssig=Zk5Q1zN2ix",四川 成都,Wed Jun 26 08:52:54  2024,就没有减过负，到现在还必须上下班打卡还抓考勤，期末考完都还不能马上弹性[二哈]
大溪Simba,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/6dc91b59ly8hmdvtporzhj20e80e8mzy.jpg?KID=imgbed,tva&Expires=1719401335&ssig=xzcpSzO3%2BU",北京 海淀区,Wed Jun 26 08:49:31  2024,教育部，教委干点人事吧[黑线][汗][挖鼻][哼][怒]
南上鸢北之兰,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/882d2f34ly8g34nc21e9uj20ro0rojvg.jpg?KID=imgbed,tva&Expires=1719401338&ssig=Yl7A2xU0e5",四川 成都,Wed Jun 26 08:49:28  2024,我们不仅有培训还有连着好几个七月八月都有[打脸] 简直剥削休息时间。。。
陈菇凉爱吃榴莲,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005SpwCbly8grc99de5ikj30u00u0jt3.jpg?KID=imgbed,tva&Expires=1719401338&ssig=jyTGyrVrJ9",广东,Wed Jun 26 08:40:49  2024,现在在疯狂删评，是厉害的[允悲][允悲]
动不动就血常规,"https://tvax4.sinaimg.cn/crop.0.0.360.360.50/007eSITdly8hhinssd2mwj30a00a0mxe.jpg?KID=imgbed,tva&Expires=1719401338&ssig=ub5wudX993",黑龙江,Wed Jun 26 08:12:23  2024,"是写进教师法的""带薪休假""权利。教师愿意培训，但请勿侵占教师休息权。培训应人性化，压榨教师休息时间，不符合""减轻中小学教师负担""的相关整治工作。此刻全国各地的社交平台，对少工委此项侵占教师休息权的举措已有众多发声，请尊重社会舆论，还教师一个合理的暑假，给教师一个休息养病的时间。"
动不动就血常规,"https://tvax4.sinaimg.cn/crop.0.0.360.360.50/007eSITdly8hhinssd2mwj30a00a0mxe.jpg?KID=imgbed,tva&Expires=1719401338&ssig=ub5wudX993",黑龙江,Wed Jun 26 08:11:47  2024,6月25日，学校发布《关于做好全国少先队辅导员和学校大中队辅导员第2期培训工作的预通知》，要求班主任在7月15~18日暑假期间参与培训，且不得请假。根据《中华人民共和国教师法》第二章第七条规定:“教师享有下列权利:(四)按时获取工资报酬，享受国家规定的福利待遇以及寒暑假期的带薪休假。”寒暑假
Suzrika,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/685d2c6bly8hnu2zhy6mej20u00u0jxl.jpg?KID=imgbed,tva&Expires=1719401338&ssig=TOfimtVOpb",广东,Wed Jun 26 07:26:58  2024,完全不合理！！！！太气愤了😡
会说话就多说一点咯,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/96148a6aly8g8m0qrt3j4j20e80e8dfy.jpg?KID=imgbed,tva&Expires=1719401338&ssig=uBD4yje0uD",四川 成都,Wed Jun 26 07:19:50  2024,被和谐了诶这话题。6
Miller双,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/a496da0bly8hlejlk9vsrj20u00u0acr.jpg?KID=imgbed,tva&Expires=1719401338&ssig=RPm8S4sNO%2B",其他,Wed Jun 26 07:12:41  2024,@人民日报
麻辣火锅加雪糕,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/007Rr2kZly8hr1o0djncej30e80e8mxe.jpg?KID=imgbed,tva&Expires=1719401338&ssig=X1%2Fj3hBsM8",广东,Wed Jun 26 07:10:57  2024,今天话题被屏蔽了
利兹king,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006pvXJhly8hgst2onmt5j30u00u0ag9.jpg?KID=imgbed,tva&Expires=1719401338&ssig=%2BVhCZJGTrw",河北,Wed Jun 26 01:53:46  2024,哈哈哈
老黑_小白,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005OJwMyly8hdkjsvijk8j30u00u0ac7.jpg?KID=imgbed,tva&Expires=1719401338&ssig=bc0Z7f7zS3",其他,Wed Jun 26 01:13:35  2024,他们没有强制，你们都是自愿封闭的[doge]
怎样才能有一个可以用的名字,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005SzS0Wly8hd6bpnvoojj30u00u0jvl.jpg?KID=imgbed,tva&Expires=1719401338&ssig=ZV54hNdpRp",其他,Wed Jun 26 01:07:56  2024,@今天吃肠粉吗：#暑假7.15-7.18培训不合理# 《中华人民共和国教师法》第二章第七条 规定:“教师享有下列权利:(四)按时获取工资报酬，享受国家规定的福利待遇以及寒暑假期的带薪休假。” 因此，教师享有寒暑假期的带薪休假的权利，请勿剥夺教师的休息权！！！！
葫芦僧乱判,"https://tva4.sinaimg.cn/crop.0.22.150.150.50/944bcb47jw8etocbh29mij204605fjr8.jpg?KID=imgbed,tva&Expires=1719401338&ssig=lyHmUkOhdK",上海 黄浦区,Wed Jun 26 01:03:30  2024,听说过卞仲*老师吗？ 老师们这些年种下的种子， 已经长成大树， 很快就会结果了。 恭喜
好运琪酱鸭,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008bMelIly8giqld2fcxsj30u00u040h.jpg?KID=imgbed,tva&Expires=1719401338&ssig=tCs71JibTj",其他,Wed Jun 26 00:50:13  2024,@全国少工委
好运琪酱鸭,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008bMelIly8giqld2fcxsj30u00u040h.jpg?KID=imgbed,tva&Expires=1719401338&ssig=tCs71JibTj",其他,Wed Jun 26 00:46:25  2024,@全国少工委 @超话社区
藍天武士5358,"https://tvax2.sinaimg.cn/crop.0.0.132.132.50/008aUobjly4ghm8spybdfj303o03o3yb.jpg?KID=imgbed,tva&Expires=1719401338&ssig=%2F2VgkkShrD",其他,Wed Jun 26 00:46:09  2024,你說法制我都覺得有些好笑
困吗困-,"https://tvax3.sinaimg.cn/crop.0.0.664.664.50/bd166db1ly8g2xasdhy01j20ig0igdgm.jpg?KID=imgbed,tva&Expires=1719401338&ssig=biiCzDV5mR",广东 广州,Wed Jun 26 00:35:13  2024,@全国少工委
YunSunshine韵,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006ciL23ly8hr22es71uyj30u00u076w.jpg?KID=imgbed,tva&Expires=1719401338&ssig=iJcsDbYfVH",四川 泸州,Wed Jun 26 00:33:56  2024,"老师是牛马,班主任就是牛马中的牛马。"
太空游魂,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/566a80bejw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1719401338&ssig=rBDPPAp6Fw",北京 海淀区,Wed Jun 26 00:33:23  2024,教育部和少工委早就没形象了
