screen_name,profile_image_url,location,created_time,text
永远最闪耀的星英英,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006RPn5Gly8hpl4lrbp0yj30u00u0wi6.jpg?KID=imgbed,tva&Expires=1717830623&ssig=gFS2A9dV%2F3",其他,Sat Jun 08 12:03:23  2024,我们那姐实力+颜值+顶流
橡皮糖NA,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/86d139afly8gwu5lyhll5j20u00u0mz1.jpg?KID=imgbed,tva&Expires=1717830623&ssig=gSUQeCpd58",上海,Sat Jun 08 11:42:52  2024,世界上最好的那英❤️ http://t.cn/A6Hdd9fF
普通昵称么,"https://tvax3.sinaimg.cn/crop.0.0.521.521.50/a917eadbly8h5mw5zq9p5j20eh0ehmyc.jpg?KID=imgbed,tva&Expires=1717830623&ssig=ZxOe7E4R%2B3",其他,Sat Jun 08 10:17:05  2024,骨子里的飒，骨子里的勇往直前，美丽的英子[good]
心舞狂行blog,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/6f219010jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717830623&ssig=KNToAnWfzm",陕西 西安,Sat Jun 08 10:08:36  2024,人生啊，三十年河东三十年河西，买了别墅也不行。
悄自在,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/008sjkFSly8hcn0nuzjzej30u00u0wh5.jpg?KID=imgbed,tva&Expires=1717830623&ssig=hHEWykkjTJ",四川,Sat Jun 08 10:02:18  2024,娜姐，灿烂的是你[赞][赞啊]
腰果那,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/e36ce36bly8hi5vopt7jyj20e80e8aak.jpg?KID=imgbed,tva&Expires=1717830623&ssig=q1gY7dli2D",其他,Sat Jun 08 09:57:08  2024,呜呜呜呜  又好看唱歌还好听[抱一抱]
麦香味炒米,"https://tvax2.sinaimg.cn/crop.0.0.960.960.50/005EBaqWly8hqhpj5etsrj30qo0qogp0.jpg?KID=imgbed,tva&Expires=1717830623&ssig=4263yIrAtJ",吉林,Sat Jun 08 09:50:21  2024,真的帅啊
航少大步向前走,"https://tvax1.sinaimg.cn/crop.0.0.734.734.50/005Qxpluly8h0c0axwaysj30ke0kewgr.jpg?KID=imgbed,tva&Expires=1717830623&ssig=Wf2InOPiGg",河南 开封,Sat Jun 08 09:02:37  2024,英子，你比那些婉拒不敢参加的“歌手”根本不在一个档次，咱是什么？咱是实力派，他们是录音棚派。
MoneyAex,"https://tvax4.sinaimg.cn/crop.0.0.690.690.50/008wlY41ly8h8yceczh6dj30j60j63z7.jpg?KID=imgbed,tva&Expires=1717830623&ssig=LT332B%2FGYf",其他,Sat Jun 08 08:25:47  2024,下期加油，享受舞台@那英
kim亨的小老公,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/006PFzjely8gxjb9hsznqj30e80e83z4.jpg?KID=imgbed,tva&Expires=1717830623&ssig=2UBA3Y25yr",其他,Sat Jun 08 08:22:04  2024,我可太爱了[泪]
小羽沙龙,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/6349b585ly8gbons16i6aj20u00u0whb.jpg?KID=imgbed,tva&Expires=1717830623&ssig=pgySqrN8CR",内蒙古 包头,Sat Jun 08 08:11:02  2024,唱的好上热搜，唱的不好也上热搜，不紧张才怪，全民关注度太高、太高了，那姐不容易，全民都举着放大镜🔍容不得她有一点瑕疵，没办法，谁叫爱她、恨她的人都有太多[捂脸]！ 那姐，希望在接下来的比赛，你都可以享受比赛、挑战当下的自己，不管你发挥到什么水平，爱你的会一直爱你[比心]。
蒲扇香水,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_50.gif?KID=imgbed,tva&Expires=1717830623&ssig=lZ%2FPCu%2BSgw",北京,Sat Jun 08 07:54:48  2024,本来不讨厌你，你站队汪狗就可见一斑…
冰糖糖葫芦429,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/90dd4a8ajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717830623&ssig=7zM2awj2X8",海外 美国,Sat Jun 08 07:48:49  2024,这期唱汪峰的歌出彩了！前几期太不稳了…
那那那那那明朗,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/008E3B4Sly8hpzkc0ay3rj30u00u0gmv.jpg?KID=imgbed,tva&Expires=1717830623&ssig=ogwnyY%2FFFL",其他,Sat Jun 08 07:32:44  2024,以后这个微博就负责更新老板的朋友圈
