screen_name,profile_image_url,location,created_time,text
摩天轮007,"https://tvax4.sinaimg.cn/crop.0.0.751.751.50/6b46c990ly8g48vl5zp8yj20kv0kvab4.jpg?KID=imgbed,tva&Expires=1719402674&ssig=mlDG5fOhVM",广东 佛山,Wed Jun 26 16:43:19  2024,[心]
再后又一年,"https://tvax3.sinaimg.cn/crop.0.0.1056.1056.50/008uy49zly8hgkr04fjw8j30tc0tcacn.jpg?KID=imgbed,tva&Expires=1719402674&ssig=AENuFF4100",其他,Wed Jun 26 16:42:30  2024,金榜题名[坏笑]
十七一样0,"https://tvax3.sinaimg.cn/crop.0.0.959.959.50/007XjxCjly8hgqv3i2jq7j30qn0qntab.jpg?KID=imgbed,tva&Expires=1719402674&ssig=t80aaXuGBZ",浙江 温州,Wed Jun 26 16:41:35  2024,保我第一志愿录取[求关注][求关注]
攒星星kkk,"https://tvax1.sinaimg.cn/crop.0.0.720.720.50/008lTUfQly8hoa6jrdabxj30k00k0dgz.jpg?KID=imgbed,tva&Expires=1719402674&ssig=o7i3m73phw",其他,Wed Jun 26 16:28:01  2024,金榜题名
下雪天要不要打伞,"https://tvax3.sinaimg.cn/crop.0.0.1077.1077.50/008hk4LUly8hr2u20l3xzj30tx0txq4x.jpg?KID=imgbed,tva&Expires=1719402674&ssig=ETh1hxuqNj",山东,Wed Jun 26 16:23:21  2024,金榜题名
冰熔岩美式,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/008pz95Yly8hpxbp9ziauj30u00u0q67.jpg?KID=imgbed,tva&Expires=1719402674&ssig=FUaUTbecW8",四川,Wed Jun 26 16:22:48  2024,金榜题名
ssaws无,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/007FvRUzly8ghtpfv8w2hj30ro0rojtj.jpg?KID=imgbed,tva&Expires=1719402674&ssig=9kDSi84C1Q",其他,Wed Jun 26 16:20:11  2024,[打call]
北京高生,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/7162c705ly8gcnre3s38ej20ro0rowg8.jpg?KID=imgbed,tva&Expires=1719402674&ssig=WLDdksLobr",北京 东城区,Wed Jun 26 16:18:39  2024,金榜题名
重庆图书馆,"https://tvax2.sinaimg.cn/crop.0.0.828.828.50/75292dcaly8h8vjyra2ufj20n00n03za.jpg?KID=imgbed,tva&Expires=1719402674&ssig=kodv8A%2BIaz",重庆,Wed Jun 26 16:18:28  2024,【提前收藏！#高考录取通知书物流信息查询#】
一塊奶酪起司_,"https://tvax2.sinaimg.cn/crop.0.0.700.700.50/0087jVZZly8hgiwqe25isj30jg0jgt9h.jpg?KID=imgbed,tva&Expires=1719402674&ssig=0eBRW1zT7Y",其他,Wed Jun 26 16:17:04  2024,金榜题名
