screen_name,profile_image_url,location,created_time,text
新官上任一秒火,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008qvnHAly8h3h1xgsb1qj30u00u07cz.jpg?KID=imgbed,tva&Expires=1725118862&ssig=lmRxv7SdVj",其他,Mon Jun 17 11:10:10  2024,高考后建议割包皮，正如你微博名称一样，真是个恶魔建议！
Johan_Hwang,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/006geChQly8fic8yypoxuj30e80e8q2u.jpg?KID=imgbed,tva&Expires=1725118862&ssig=bT0LwyC0MO",浙江,Sun Jun 16 18:55:28  2024,其他地方我不知道，我们这边驾校没有所谓的“暑假班”了，一个暑假是学不完的，然后去上学就得停课，等寒假接着学[doge]
996深圳程序员,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/6a0258cfly8hmz1trmk4xj20e80e80tb.jpg?KID=imgbed,tva&Expires=1725118862&ssig=qtZTt5o0u7",广东,Sun Jun 16 12:35:35  2024,打篮球
你全家都是沸羊羊,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/007Z97Yxly8hq4gq3ifzzj30e80e8weq.jpg?KID=imgbed,tva&Expires=1725118862&ssig=AQjE9%2BjaR7",其他,Sat Jun 15 02:32:29  2024,有钱吗请问
百人影X,"https://tvax3.sinaimg.cn/crop.0.0.960.960.50/e939e6b6ly8ho4p21y55cj20qo0qoq6q.jpg?KID=imgbed,tva&Expires=1725118862&ssig=lwiiCZBTiL",其他,Thu Jun 13 16:18:03  2024,割包皮太痛了[泪][泪]
d3sTiny47631,"https://tvax3.sinaimg.cn/crop.0.0.888.888.50/006CPkoEly8hrtpkyzwbaj30oo0ootbc.jpg?KID=imgbed,tva&Expires=1725118862&ssig=KBitRt6J0R",其他,Thu Jun 13 00:35:03  2024,我大三了还没割包皮[允悲][允悲]
别挑就这些,"https://tvax3.sinaimg.cn/crop.0.0.480.480.50/008BDjzGly8hk0cpk5n8fj30dc0dcq32.jpg?KID=imgbed,tva&Expires=1725118862&ssig=mYErq3QXQo",其他,Wed Jun 12 16:29:43  2024,割包皮有什么可做的 就跟以为进入大学有很多性生活一样？
21岁老头子,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/0088a9wTly8gzbz1dnspoj30u00u0q88.jpg?KID=imgbed,tva&Expires=1725118862&ssig=FEUICWPRV1",其他,Wed Jun 12 15:49:12  2024,大学毕业一年的社畜求教，现在我的情况是包皮想翻就能翻出来。但是我不喜欢翻出来碰到内裤的感觉，我是用的时候翻出来，不用的时候再让它包上，这个情况需要让它一直处于翻出来的状态还是去割一下包皮[允悲][允悲]
LYFYUNAAAPU,"https://tvax4.sinaimg.cn/crop.0.0.1075.1075.50/0069YHhkly8hbkhi7s8kyj30tv0tv0u3.jpg?KID=imgbed,tva&Expires=1725118862&ssig=FR7pHT4S%2F3",广东 韶关,Wed Jun 12 13:37:44  2024,还有1个：不要去野塘里洗澡游泳！！！！
温暖-董勇飞,"https://tvax1.sinaimg.cn/crop.0.0.818.818.50/008qC4a4ly8hq7ej82hm0j30mq0mqab5.jpg?KID=imgbed,tva&Expires=1725118862&ssig=%2Bo62UA%2FRCK",湖北 武汉,Wed Jun 12 08:40:27  2024,高考以后， 1，治疗皮肤痘印 2，矫正牙齿 3，剪发型染发 4，学驾照
夏臻233,"https://tva2.sinaimg.cn/crop.0.0.80.80.50/005HvGnPjw8eqxga98nlmj3028028q2p.jpg?KID=imgbed,tva&Expires=1725118862&ssig=6FBGgDfStT",江西 赣州,Wed Jun 12 04:02:07  2024,牙齿矫正不能随便搞啊。昨天朋友还在痛苦后悔去搞这个了。下颌关节紊乱，特痛苦
和我一起抓怪兽吧,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/008DJVnply8hp0z2p47shj30e80e8mxh.jpg?KID=imgbed,tva&Expires=1725118862&ssig=Uslcg2RGtG",其他,Wed Jun 12 01:40:56  2024,1是真的吗[疑问]我记得我小学的时候同学就完成1了
Chen_Yujeu,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/814068dbjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1725118862&ssig=8HxZFgoxe6",浙江,Tue Jun 11 22:44:34  2024,有病
立夏暧,"https://tva3.sinaimg.cn/crop.0.0.100.100.50/005LtPmYjw8elx1246rhhj302s02sjr8.jpg?KID=imgbed,tva&Expires=1725118864&ssig=ZqzAUxFstN",其他,Tue Jun 11 19:08:44  2024,高考完了才割包皮？不是上小学才割吗，18岁才去？
白居亿aa,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/0088iSfsly8hkxyecbc1wj30e80e8mxm.jpg?KID=imgbed,tva&Expires=1725118864&ssig=uNsatfUTOz",其他,Tue Jun 11 18:48:08  2024,学驾照，学了就没有快乐了😁，一考一个不吱声[笑cry]
剌剌鱼女郎,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005FWP0oly8hc21sl4d2gj30u00u0tax.jpg?KID=imgbed,tva&Expires=1725118864&ssig=9q0XfYfp%2FY",海外,Tue Jun 11 16:48:06  2024,1小学阶段，3初中阶段，均已完成。
